Nhóm khuyết tật,Mô tả công việc
Khuyết tật vận động,"Công việc bao gồm: Nghiên cứu chủ đề, viết bài blog và mô tả sản phẩm; chỉnh sửa nội dung theo phản hồi biên tập. Môi trường và cách thức làm việc: Làm việc trên máy tính, trao đổi bằng văn bản, có thể làm từ xa và quản lý theo thời hạn. Người thực hiện cần: Có khả năng viết, tìm kiếm thông tin và sử dụng công cụ soạn thảo văn bản. Công việc có quy trình hướng dẫn rõ ràng."
Khiếm thị,"Công việc bao gồm: Thực hiện các kỹ thuật xoa bóp và bấm huyệt theo liệu trình; ghi nhận thông tin dịch vụ sau khi hoàn thành. Điều kiện thực hiện: Làm việc trực tiếp tại cơ sở có không gian và quy trình an toàn, không làm từ xa. Yêu cầu để thực hiện công việc: Đã qua đào tạo nghề, có chứng chỉ phù hợp và tuân thủ quy trình vệ sinh. Đơn vị cung cấp hướng dẫn ban đầu trước khi nhận việc."
Đa khuyết tật nhẹ,"Công việc bao gồm: Lắp ráp và hoàn thiện sản phẩm thủ công theo mẫu; kiểm tra số lượng và chất lượng trước khi bàn giao. Công việc được thực hiện trong điều kiện: Làm việc theo hướng dẫn trực quan và quy trình lặp lại; một số công đoạn có thể nhận về nhà. Kỹ năng cần thiết: Khéo tay, kiên nhẫn và có khả năng thực hiện đúng mẫu. Công việc có quy trình hướng dẫn rõ ràng."
Khuyết tật ngôn ngữ,"Các nhiệm vụ cần thực hiện gồm: Kiểm tra chứng từ, nhập số liệu, đối chiếu sổ sách và lập báo cáo kế toán định kỳ. Điều kiện thực hiện: Làm việc trên máy tính tại văn phòng hoặc theo hình thức kết hợp, trao đổi qua email và phần mềm nội bộ. Người thực hiện cần: Có nghiệp vụ kế toán, sử dụng Excel và phần mềm kế toán MISA. Đơn vị cung cấp hướng dẫn ban đầu trước khi nhận việc."
Khiếm thính,"Nhiệm vụ chính gồm: Tiếp nhận câu hỏi, tư vấn sản phẩm và xử lý yêu cầu của khách hàng qua kênh chat. Môi trường và cách thức làm việc: Không gọi điện thoại, giao tiếp qua tin nhắn trên website, fanpage hoặc ứng dụng và có kịch bản trả lời. Người thực hiện cần: Viết rõ ràng, biết sử dụng máy tính và xử lý tình huống theo quy trình. Đơn vị cung cấp hướng dẫn ban đầu trước khi nhận việc."
Khuyết tật ngôn ngữ,"Công việc bao gồm: Quản lý fanpage, tiếp nhận đơn hàng, trả lời tin nhắn và cập nhật trạng thái đơn trên hệ thống. Môi trường và cách thức làm việc: Giao tiếp với khách hàng qua tin nhắn, làm việc bằng máy tính và không bắt buộc gọi điện thoại. Yêu cầu để thực hiện công việc: Biết sử dụng mạng xã hội, Excel cơ bản và có khả năng viết tin nhắn rõ ràng. Đơn vị cung cấp hướng dẫn ban đầu trước khi nhận việc."
Khuyết tật vận động,"Nhiệm vụ chính gồm: Phân loại tài liệu điện tử, đặt tên tệp và lưu tài liệu vào đúng thư mục theo danh mục có sẵn. Môi trường và cách thức làm việc: Làm việc trên máy tính, sử dụng hướng dẫn bằng văn bản và không yêu cầu giao tiếp qua điện thoại. Kỹ năng cần thiết: Biết thao tác tệp, thư mục và có khả năng làm theo quy tắc đặt tên. Kết quả được đánh giá dựa trên độ chính xác và mức độ hoàn thành."
Khuyết tật vận động,"Người lao động thực hiện: Tiếp nhận câu hỏi, tư vấn sản phẩm và xử lý yêu cầu của khách hàng qua kênh chat. Điều kiện thực hiện: Không gọi điện thoại, giao tiếp qua tin nhắn trên website, fanpage hoặc ứng dụng và có kịch bản trả lời. Yêu cầu để thực hiện công việc: Viết rõ ràng, biết sử dụng máy tính và xử lý tình huống theo quy trình. Công việc được chia thành các bước cụ thể để dễ theo dõi."
Khiếm thính,"Nhiệm vụ chính gồm: Tiếp nhận câu hỏi, tư vấn sản phẩm và xử lý yêu cầu của khách hàng qua kênh chat. Công việc được thực hiện trong điều kiện: Không gọi điện thoại, giao tiếp qua tin nhắn trên website, fanpage hoặc ứng dụng và có kịch bản trả lời. Người thực hiện cần: Viết rõ ràng, biết sử dụng máy tính và xử lý tình huống theo quy trình."
Khuyết tật ngôn ngữ,"Công việc bao gồm: Thiết kế banner, hình ảnh sản phẩm và ấn phẩm truyền thông; chỉnh sửa sản phẩm theo phản hồi. Môi trường và cách thức làm việc: Làm việc trên máy tính, nhận yêu cầu bằng văn bản và có thể làm từ xa. Người thực hiện cần: Sử dụng được Photoshop, Illustrator hoặc Canva và có sản phẩm mẫu phù hợp. Công việc được chia thành các bước cụ thể để dễ theo dõi."
Khiếm thính,"Các nhiệm vụ cần thực hiện gồm: Phát triển và bảo trì API, làm việc với cơ sở dữ liệu, viết kiểm thử và quản lý mã nguồn bằng Git. Điều kiện thực hiện: Làm việc trên máy tính, có thể làm từ xa hoặc tại văn phòng, trao đổi qua chat và công cụ quản lý công việc. Người thực hiện cần: Có kiến thức Python, SQL, REST API, Git và khả năng đọc tài liệu kỹ thuật. Công việc được chia thành các bước cụ thể để dễ theo dõi."
Khuyết tật trí tuệ nhẹ,"Công việc bao gồm: May các công đoạn đơn giản theo mẫu, kiểm tra đường may và sắp xếp sản phẩm sau khi hoàn thành. Điều kiện thực hiện: Làm việc tại vị trí cố định trong xưởng, có hướng dẫn trực quan và quy trình an toàn rõ ràng. Yêu cầu để thực hiện công việc: Biết sử dụng máy may, có khả năng tập trung và thực hiện đúng mẫu. Công việc có quy trình hướng dẫn rõ ràng."
Khiếm thính,"Công việc bao gồm: Thiết kế banner, hình ảnh sản phẩm và ấn phẩm truyền thông; chỉnh sửa sản phẩm theo phản hồi. Môi trường và cách thức làm việc: Làm việc trên máy tính, nhận yêu cầu bằng văn bản và có thể làm từ xa. Người thực hiện cần: Sử dụng được Photoshop, Illustrator hoặc Canva và có sản phẩm mẫu phù hợp. Công việc được chia thành các bước cụ thể để dễ theo dõi."
Khuyết tật vận động,"Công việc bao gồm: Lắp ráp và hoàn thiện sản phẩm thủ công theo mẫu; kiểm tra số lượng và chất lượng trước khi bàn giao. Điều kiện thực hiện: Làm việc theo hướng dẫn trực quan và quy trình lặp lại; một số công đoạn có thể nhận về nhà. Người thực hiện cần: Khéo tay, kiên nhẫn và có khả năng thực hiện đúng mẫu."
Khiếm thính,"Công việc bao gồm: Chuyển nội dung nói hoặc văn bản sang ngôn ngữ ký hiệu và phối hợp biên tập phụ đề cho video. Điều kiện thực hiện: Làm việc với video và tài liệu số, nhận kịch bản trước, có thể làm bán thời gian hoặc từ xa. Kỹ năng cần thiết: Thành thạo ngôn ngữ ký hiệu và có kỹ năng biên tập video cơ bản. Công việc được chia thành các bước cụ thể để dễ theo dõi."
Khuyết tật vận động,"Người lao động thực hiện: Nhập, đối chiếu và cập nhật dữ liệu trên Excel hoặc phần mềm nội bộ; kiểm tra lỗi trước khi lưu. Môi trường và cách thức làm việc: Làm việc tại bàn, sử dụng máy tính, trao đổi chủ yếu bằng văn bản và không bắt buộc nghe điện thoại. Kỹ năng cần thiết: Biết sử dụng Excel cơ bản, gõ phím và làm theo quy trình kiểm tra dữ liệu. Đơn vị cung cấp hướng dẫn ban đầu trước khi nhận việc."
Khiếm thị,"Công việc bao gồm: Thực hiện các kỹ thuật xoa bóp và bấm huyệt theo liệu trình; ghi nhận thông tin dịch vụ sau khi hoàn thành. Điều kiện thực hiện: Làm việc trực tiếp tại cơ sở có không gian và quy trình an toàn, không làm từ xa. Người thực hiện cần: Đã qua đào tạo nghề, có chứng chỉ phù hợp và tuân thủ quy trình vệ sinh. Đơn vị cung cấp hướng dẫn ban đầu trước khi nhận việc."
Khuyết tật ngôn ngữ,"Các nhiệm vụ cần thực hiện gồm: Tiếp nhận câu hỏi, tư vấn sản phẩm và xử lý yêu cầu của khách hàng qua kênh chat. Điều kiện thực hiện: Không gọi điện thoại, giao tiếp qua tin nhắn trên website, fanpage hoặc ứng dụng và có kịch bản trả lời. Yêu cầu để thực hiện công việc: Viết rõ ràng, biết sử dụng máy tính và xử lý tình huống theo quy trình. Công việc được chia thành các bước cụ thể để dễ theo dõi."
Khiếm thính,"Các nhiệm vụ cần thực hiện gồm: Kiểm tra chứng từ, nhập số liệu, đối chiếu sổ sách và lập báo cáo kế toán định kỳ. Điều kiện thực hiện: Làm việc trên máy tính tại văn phòng hoặc theo hình thức kết hợp, trao đổi qua email và phần mềm nội bộ. Người thực hiện cần: Có nghiệp vụ kế toán, sử dụng Excel và phần mềm kế toán MISA. Đơn vị cung cấp hướng dẫn ban đầu trước khi nhận việc."
Khuyết tật ngôn ngữ,"Công việc bao gồm: Phân loại tài liệu điện tử, đặt tên tệp và lưu tài liệu vào đúng thư mục theo danh mục có sẵn. Điều kiện thực hiện: Làm việc trên máy tính, sử dụng hướng dẫn bằng văn bản và không yêu cầu giao tiếp qua điện thoại. Yêu cầu để thực hiện công việc: Biết thao tác tệp, thư mục và có khả năng làm theo quy tắc đặt tên. Đơn vị cung cấp hướng dẫn ban đầu trước khi nhận việc."
Khuyết tật ngôn ngữ,"Nhiệm vụ chính gồm: Kiểm tra lỗi chính tả, định dạng văn bản và đối chiếu nội dung với bản hướng dẫn trước khi xuất bản. Môi trường và cách thức làm việc: Làm việc trên máy tính, trao đổi bằng nhận xét văn bản và có thể làm từ xa. Kỹ năng cần thiết: Đọc hiểu tốt, cẩn thận và sử dụng được công cụ soạn thảo văn bản. Công việc được chia thành các bước cụ thể để dễ theo dõi."
Khuyết tật ngôn ngữ,"Người lao động thực hiện: Tiếp nhận câu hỏi, tư vấn sản phẩm và xử lý yêu cầu của khách hàng qua kênh chat. Điều kiện thực hiện: Không gọi điện thoại, giao tiếp qua tin nhắn trên website, fanpage hoặc ứng dụng và có kịch bản trả lời. Yêu cầu để thực hiện công việc: Viết rõ ràng, biết sử dụng máy tính và xử lý tình huống theo quy trình. Công việc được chia thành các bước cụ thể để dễ theo dõi."
Khiếm thính,"Các nhiệm vụ cần thực hiện gồm: Tiếp nhận câu hỏi, tư vấn sản phẩm và xử lý yêu cầu của khách hàng qua kênh chat. Điều kiện thực hiện: Không gọi điện thoại, giao tiếp qua tin nhắn trên website, fanpage hoặc ứng dụng và có kịch bản trả lời. Người thực hiện cần: Viết rõ ràng, biết sử dụng máy tính và xử lý tình huống theo quy trình. Đơn vị cung cấp hướng dẫn ban đầu trước khi nhận việc."
Khiếm thính,"Công việc bao gồm: Kiểm tra lỗi chính tả, định dạng văn bản và đối chiếu nội dung với bản hướng dẫn trước khi xuất bản. Công việc được thực hiện trong điều kiện: Làm việc trên máy tính, trao đổi bằng nhận xét văn bản và có thể làm từ xa. Kỹ năng cần thiết: Đọc hiểu tốt, cẩn thận và sử dụng được công cụ soạn thảo văn bản. Kết quả được đánh giá dựa trên độ chính xác và mức độ hoàn thành."
